device_id,component_name,co2_emitted,global_warming_pct
28,ASSY SPK-LOWER,0.4014,1.0
28,BATTERY,1.0436,2.6
28,DLC,0.4415,1.1
28,DISPLAY,2.89,7.2
28,IF SUB B'D,0.7626,1.9
28,MAIN B'D,28.0173,69.6
28,NFC ANT,4.3351,10.8
28,Others,1.0838,2.7
28,SELFIE CAM-12MP,0.4415,1.0
28,WIDE-ANGEL CAM-50MP,0.8831,2.2
29,BATTERY,0.8258,2.4
29,CAM - TELE,0.8258,2.4
29,CAM - Wide,0.4471,1.3
29,DLC,0.3789,1.1
29,Display,2.1669,6.3
29,MAIN B'D,27.4133,79.5
29,NFC,0.7911,2.3
29,Others,0.9631,2.8
29,Side Key,0.344,1.0
29,SUB B'D,0.344,1.0
30,Battery,1.1273,3.1
30,CAM - TELE,0.4364,1.2
30,CAM - WIDE,0.2182,0.6
30,DLC,0.4,1.1
30,Display,3.1273,8.6
30,Front Case,0.1818,0.5
30,MAIN B'D,29.1272,80.0
30,Others,0.6909,1.9
30,SUB B'D,0.8364,2.3
30,US FPCB,0.2545,0.7
31,Battery,1.0262,2.4
31,CAM - Selfie,0.3421,0.8
31,CAM - TELE,1.411,3.3
31,CAM - Ultra wide,0.3421,0.8
31,DLC,0.4276,1.0
31,Display,3.6771,8.6
31,Front Case,0.7269,1.7
31,MAIN B'D,33.0939,77.3
31,Others,1.0262,2.4
31,SUB B'D,0.7269,1.7
32,Battery,1.3679,3.4
32,CAM - Selfie,0.3316,0.8
32,CAM - TELE,0.3316,0.8
32,CAM - Ultra wide,0.3316,0.8
32,Display,3.6062,8.9
32,DLC,0.3316,0.8
32,Front Case,0.7047,1.7
32,MAIN B'D,32.041,79.3
32,Others,0.9948,2.5
32,SUB B'D,0.3591,0.9
33,ANTENNA COIL,0.1176,0.3
33,BATTERY,3.1742,7.7
33,CAM - TELE,0.1567,0.4
33,CAM - Ultra wide,0.1176,0.3
33,DLC,0.2743,0.7
33,Display,3.2324,7.9
33,MAIN B'D,32.3638,78.5
33,Others,0.627,1.5
33,SPK,0.1176,0.3
33,SUB B'D,1.0189,2.5
34,Battery,1.2617,3.0
34,CAM - Ultra Wide,0.3365,0.8
34,CAM - Wide,0.3785,0.9
34,DLC,0.0841,0.2
34,Display,6.0143,14.3
34,Finger Print Sensor,1.1776,2.8
34,MAIN B'D,30.3238,72.0
34,Others,0.8412,2.0
34,SIM SD,0.2944,0.7
34,SUB B'D,1.3879,3.3
35,C TO C FPCB-CTC,0.3035,0.7
35,FRONT CAM-10MP,0.3902,0.9
35,IF SUB B'D,0.5203,1.2
35,MAIN B'D,23.4993,54.1
35,MAIN DISPLAY,2.6014,6.0
35,MAIN FRONT,0.2601,0.6
35,Others,1.3441,3.1
35,SECONDARY B'D,12.7469,29.4
35,SUB BATTERY,0.5636,1.3
35,SUB DISPLAY,1.1706,2.7
36,C TO C FPCB-CTC,0.2489,0.7
36,FRONT CAM-10MP,0.32,0.9
36,IF SUB B'D,0.4267,1.2
36,MAIN B'D,19.2741,54.1
36,MAIN DISPLAY,2.1337,6.0
36,MAIN FRONT,0.2134,0.6
36,Others,1.1024,3.1
36,SECONDARY B'D,10.455,29.4
36,SUB BATTERY,0.4623,1.3
36,SUB DISPLAY,0.7635,2.7
37,ANTENNA COIL,0.5117,1.5
37,BATTERY,0.6139,1.8
37,IF SUB B'D,0.5116,1.5
37,MAIN B'D,18.5207,55.1
37,MAIN DISPLAY,2.3194,6.9
37,METAL FRONT,0.4775,1.4
37,CAMERA-50M,0.4775,1.4
37,Others,1.2279,3.7
37,SECONDARY B'D,7.7767,23.1
37,SUB DISPLAY,1.1631,3.5
38,ANTENNA COIL,0.945,2.7
38,Battery,0.595,1.7
38,CAM - Selfie,0.35,1.0
38,CTC FPCB,0.245,0.7
38,DLC,0.385,1.1
38,Display,2.24,6.4
38,MAIN B'D,26.775,76.5
38,Others,1.995,5.7
38,SUB B'D,0.35,1.0
38,SUB Display,1.12,3.2
39,ANTENNA COIL,0.5087,1.4
39,Adaptor,0.2544,0.7
39,MAIN B'D,20.1667,55.6
39,MAIN Battery,0.109,0.3
39,MAIN Display,4.433,12.2
39,Others,8.5754,23.6
39,SUB B'D,0.5087,1.4
39,SUB Battery,0.3634,1.0
39,SUB Display,0.9447,2.6
39,UNIT BOX,0.436,1.2
40,C TO C FPCB-SUB,0.4778,1.1
40,MAIN B'D,18.6372,42.9
40,MAIN DISPLAY,3.5189,8.1
40,MAIN FRONT,0.6951,1.6
40,Others,3.2583,7.5
40,SECONDARY B'D,5.8649,13.5
40,SUB B'D,7.8633,18.1
40,SUB BATTERY,0.5213,1.2
40,SUB DISPLAY,1.9984,4.6
40,USB B'D,0.5648,1.3
41,C TO C FPCB-CTC,0.3628,0.7
41,FRONT CAM-10MP,0.4665,0.9
41,IF SUB B'D,0.622,1.2
41,MAIN B'D,28.0945,54.1
41,MAIN DISPLAY,3.1101,6.0
41,MAIN FRONT,0.311,0.6
41,Others,1.6069,3.1
41,SECONDARY B'D,15.2394,29.4
41,SUB BATTERY,0.6739,1.3
41,SUB DISPLAY,1.1129,2.7
42,C TO C FPCB-SUB,0.4285,1.1
42,MAIN B'D,22.011,56.3
42,MAIN DISPLAY,1.9607,5.1
42,MAIN FRONT,1.0111,2.6
42,Others,1.2833,3.3
42,SECONDARY B'D,5.3277,13.6
42,SUB B'D,5.3277,13.5
42,SUB BATTERY,0.35,0.9
42,SUB DISPLAY,1.0111,2.6
42,USB B'D,0.3889,1.0
43,Adaptor,0.8712,1.2
43,Battery,0.5082,0.7
43,MAIN B'D,41.1642,56.7
43,MAIN Display,9.2202,12.7
43,Others,6.2436,8.6
43,SIM PBA,0.5082,0.7
43,SMD Inner,0.5808,0.8
43,SUB B'D,10.0188,13.8
43,SUB Display,2.541,3.5
43,UNIT BOX,0.9438,1.3
44,BATTERY,1.065,2.5
44,CAM - Tele,0.213,0.5
44,CAM - Ultra Wide,0.3408,0.8
44,CAM - Wide,0.2556,0.6
44,DLC,0.3834,0.9
44,DISPLAY,3.4506,8.1
44,FRONT CASE,0.1704,0.4
44,MAIN B'D,35.4858,83.3
44,Others,0.5964,1.4
44,SUB B'D,0.639,1.5
45,Battery,1.0324,2.9
45,CAM - Wide,0.1424,0.4
45,CTC FPCB,0.3916,1.1
45,DLC,0.356,1.0
45,Display,2.848,8.0
45,Front Case,0.178,0.5
