PartNo,Description,Logic,Category
GH98-45753B,ASSY SIM TRAY-ZN
GH98-45035A,ASSY KEY-VOLUME KEY
GH82-29461B,SVC ASSY SMT-OCTA(E/ZA/PF)SM-F936B
GH82-29440E,"SVC ASSY SMT-OCTA(E/ZK/PF),SM-F721B,EUB"
GH81-19341A,SVC JIG-POGO JIG;R840;SVC JIG
GH82-29440G,"SVC ASSY SMT-OCTA(E/AD/PF),SM-F721B,EUB"
GH82-30238G,"SVC ASSY SMT-OCTA(E/AD/PF),SM-F721B,(H),"
GH82-21040A,"SVC PBA-MAIN(COMM)SM-R835FS/4,SVC;SM-R83"
GH97-26410C,MEA FRONT-SM-R875/870_ZG
GH43-04419C,"INNER BATTERY PACK-EB-BG920ABA,2550MAH"
GH82-29115A,"SVC SUB PBA-USB PBA,SM-P613,OPEN"
GH82-28028A,"SVC PBA-MAIN(SVC/COMM)SM-A536B_128/6,EUB"
GH82-30238F,"SVC ASSY SMT-OCTA(E/ZS/PF),SM-F721B,(H),"
GH82-30239D,"SVC ASSY SMT-OCTA(SVC/E/LB/PF),F721B,(H)"
GH97-25615A,MEA ANTENNA-TOP_SM-G781B
GH98-44246A,ASSY DECO-CAM UPPER
GH64-07533A,"DECORATION-GLASTIC SLIDE INNER;SM-A805F,"
GH96-12848A,"ASSY OLED-1.2"" 360X360 R835U BLK WO L AG"
GH82-27487D,"SVC LCD ASSY-OCTA KIT(E/ZG)SM-S908W,XAC"
GH02-23958A,TAPE SPONGE-SPK
GH82-29314A,"SVC PBA-MAIN(COMM)A137F/DS_64+4GB,EUB"
GH02-21007A,TAPE PET-SHEET LCD BRK R
GH96-13129A,"ASSY CAMERA-307K,1/6 (SM-G986U)"
GH96-13165A,"ASSY CAMERA-12M FF, 1/2.6(SM-G986U)"
GH02-22873A,TAPE DOUBLE FACE-MAIN CTC FPCB
GH82-22112C,SVC COVER ASSY-B/G
GH96-14326A,ASSY VT CAMERA-1/5' 5M (T736B)
GH82-21622H,SVC CASE ASSY-CRADLE_COMM 1_ZP(EP-QR175)
GH42-06783A,ANTENNA-MAIN_SM-F926U
GH02-16617A,TAPE DOUBLE FACE-MAIN WINDOW
GH96-12986A,ASSY CAMERA-48TOIS_12UW_5MACRO
3722-003761,JACK-MICRO USB
GH59-14976A,CON TO CON FPCB-OCTA FPCB ASS'Y
GH82-28815B,"SVC ASSY SMT-OCTA(E/ZS)SM-R865,OPEN"
GH96-13658A,"ASSY VT CAMERA-1/4""_8M FF (SM-T976B)"
GH98-45189B,ASSY SIM TRAY-DUAL_ZS
GH59-15383A,UNIT-SIDE KEY FPCB_SM-G781B
GH02-19984A,TAPE DOUBLE FACE-CAM WINDOW
GH82-29481A,"A/S CH SET-SM-R510NZAAEUE(LEFT),SDI"
GH81-14550A,"A/S TAPE-OCTA CUSHION;SM-T825,SVC"
GH98-44992A,ASSY SIM TRAY-DUAL
GH82-23019A,"SVC ASSY SMT-OCTA(SVC/ZK), SM-A415F"
GH81-21168A,A/S-TAPE SUB UB INNER R
GH97-26600B,MEA FRONT-LTE(R875)_ZS
GH82-21269A,"SVC SUB PBA-DRX_SM-T545/64,COMM,SVC;SM-T"
GH82-23406A,"SVC PBA-MAIN(COMM)SM-T976B/128,6GB,EUB,"
GH82-26156B,SVC COVER ASSY-B/C_G990B/DS_ZW_UKCA
GH96-08383A,ASSY SPEAKER-SPK+R
GH82-30239A,"SVC ASSY SMT-OCTA(SVC/E/ZA/PF),F721B,(H)"
GH82-28025A,"SVC ASSY SMT-OCTA(SVC/E/ZK)SM-A536B,EUB"
GH81-20695A,SVC JDM PBA-MAIN(CIS/MEA)_DS_A226/4_64
GH82-24626A,"SVC PBA-MAIN(COMM)SM-A125F/128,4GB,XSP"
6002-001657,SCREW-TAPPING
GH98-47263A,ASSY SIM TRAY-DS_ZK
GH82-25460A,"SVC ASSY SMT-OCTA(E/ZK)SM-A725F,SER"
GH82-25448A,SVC COVER ASSY-B/C_COMMON_ZK_ALL
GH82-28143C,"SVC ASSY SMT-OCTA(E/LB)SM-A336E,INS"
GH82-28146A,"SVC BATT ASSY-SM-A336B,EB-BA536ABY,EUB"
GH82-21653F,SVC COVER ASSY-B/G
GH82-28387B,SVC COVER ASSY-REAR_A135_LB_UKCA
GH82-28042C,SVC COVER ASSY-B/C_A336_LB_UKCA
GH82-23099A,"SVC PBA-MAIN(COMM)SM-A516B_EUR,EUB,SV"
GH82-20345A,"SVC PBA-MAIN(COMM)SM-A805F/128D,XEF,SVC;"
GH82-28142A,"SVC PBA-MAIN(COMM)SM-A336B_128/6,EUB;SM-"
GH96-15013A,ASSY VT CAMERA-SM-A336B
GH96-13459A,"ASSY CAMERA-1/5""_5M(SM-A516N)"
GH96-13460A,ASSY CAMERA-TRIPLE 48M_12M_5M(SM-A516N)
 GH96-12537A,
GH96-15015A,ASSY CAMERA-8M FF_SM-A336B
GH96-14454A,"ASSY CAMERA-1/2""_48M(SM-A225F)"
GH98-45491A,ASSY SIM TRAY-DS-PC
GH98-44244A,ASSY SIM TRAY
GH98-47313C,ASSY SIM TRAY-DUAL_LB
GH96-11640A,ASSY VT CAMERA-1/2.8_16M(SM-A600F)
GH96-12114A,"ASSY VT CAMERA-1/2.8""_24M(SM-A750FN)"
GH96-11386A,"ASSY VT CAMERA-1/3.1""_1/4"" 16M+8M(A730)"
GH96-12232A,"ASSY VT CAMERA-1/2.8""_24M(SM-A920F)"
GH96-12556A,"ASSY VT CAMERA-1/4""_8M(SM-A205FN)"
GH96-13841A,"ASSY VT CAMERA-1/2.8""_20M(SM_A426B)"
GH96-12835A,"ASSY VT CAMERA-1/2.8""_32M(SM-A908N)"
GH81-20131A,SVC JDM-CAMERA_FRONT_5M_SM-A025_SVC
GH81-21248A,SVC JDM-CAMERA_FRONT_5M_SM-A037_SVC
GH96-15060A,"ASSY CAMERA-MACRO,SM-A135F"
GH96-11625A,ASSY CAMERA-16M 2P6 AF 1/2.8 CMOS
GH96-11387A,"ASSY CAMERA-1/2.8""_16M(SM-A730F)"
GH96-12216A,"ASSY CAMERA-1/2.78""_24M(SM-A920F)"
GH96-13839A,"ASSY CAMERA-1/4""_8M(SM_A426B)"
GH81-21249A,SVC JDM-CAMERA_REAR_2M_SM-A037_SVC
GH96-13843A,"ASSY CAMERA-1/5""_5M MACRO(SM_A426B)"
GH96-14892A,"ASSY CAMERA-1/2.76"" 50M(A136U)"
 GH96-13827A,
GH81-21247A,SVC JDM-CAMERA_MAIN_13M+2M_SM-A037;SM-A0
GH82-24296C,"SVC ASSY SMT-OCTA(E/RK/PF)SM-F916B,DBT"
GH82-23968D,"SVC ASSY SMT-OCTA(E/ZA/PF)SM-F916B,BTU"
GH82-27350C,"SVC ASSY SMT-OCTA(E/ZA)SM-F700,BTU,CAM"
GH82-27350B,"SVC ASSY SMT-OCTA(E/ZP/PF)SM-F700,CAM"
GH82-22204C,SVC COVER ASSY-B/G
GH82-23973A,"SVC CAM ASSY-VT CAM_COVER,SM-F916U,AS"
GH96-13039A,"ASSY VT CAMERA-1/3.06""_10M(SM-F700F)"
GH82-23974A,"SVC CAM ASSY-VT CAM_FRONT,SM-F916U,AS;SM"
GH96-13037A,ASSY CAMERA-12M AF/12M FF (F700F)
GH82-23976A,"SVC CAM ASSY-MAIN CAM_U/W,SM-F916U,AS;SM"
GH98-45753A,ASSY SIM TRAY
GH98-45099C,ASSY SIM TRAY-ZA
GH98-45753D,ASSY SIM TRAY-ZA(TB)
GH98-45099B,ASSY SIM TRAY-ZP
GH97-27947B,ASSY WINDOW GLASS-SUB UB_LV
GH82-29298B,SVC COVER ASSY-B/G_F721_LV_UKCA
GH82-29298A,SVC COVER ASSY-B/G_F721_ZA_UKCA
GH82-29298C,SVC COVER ASSY-B/G_F721_ZD_UKCA
GH82-29298D,SVC COVER ASSY-B/G_F721_LB_UKCA
GH96-15289A,ASSY SUB PBA-IF_SM-F721B
GH82-29470A,"SVC PBA-MAIN(COMM),SM-F721B_256GB,EUB"
GH98-47715B,ASSY SIM TRAY-LV
GH98-47715A,ASSY SIM TRAY-ZA
GH98-47715C,ASSY SIM TRAY-ZD
GH98-47715D,ASSY SIM TRAY-LB
GH96-12308A,"ASSY VT CAMERA-1/3.06""_10M(SM-F900U)"
 GH96-12309A,
GH98-45178B,ASSY SIM TRAY-(NEW)_ZK
GH98-45178A,ASSY SIM TRAY-(NEW)_ZS
GH96-13736A,"ASSY VT CAMERA-COVER_1/3_10M(SM_F916U);"""
GH96-14452A,"ASSY VT CAMERA-1/3.09""_16M(SM-F926U)"
GH96-14430A,"ASSY CAMERA-1/3.06""_12M(SM-F926U)"
GH96-14442A,ASSY CAMERA-12M_13M (SM-F926U)
GH98-46829A,ASSY SIM TRAY-DUAL_ZK
GH98-46829B,ASSY SIM TRAY-DUAL_ZG
GH98-46829C,ASSY SIM TRAY-DUAL_ZS
GH82-29254B,SVC COVER ASSY-B/G_F936_ZA_UKCA_ALL
GH82-29254A,SVC COVER ASSY-B/G_F936_ZK_UKCA_ALL
GH82-29254C,SVC COVER ASSY-B/G_F936_ZE_UKCA_ALL
GH82-29447A,SVC SUB PBA-SUB PBA(COMM)SM-F936
GH82-27218A,"SVC PBA-MAIN(COMM)SM-F711B(8+256GB),EUB"
GH98-45099A,ASSY SIM TRAY-ZK
GH98-45727A,ASSY SIM TRAY-5G_OPEN_ZA
GH98-45727B,ASSY SIM TRAY-5G_OPEN_ZN
GH98-46768C,ASSY SIM TRAY-ZG
GH98-47758B,ASSY SIM TRAY-DUAL_ZA
GH98-47758A,ASSY SIM TRAY-DUAL
GH98-47758C,ASSY SIM TRAY-DUAL_ZE
GH82-23299C,SVC COVER ASSY-B/G_COMMON_N981_ZG
GH98-45806C,ASSY SIM TRAY-DUAL NIS_ZW
GH98-45734C,ASSY SIM TRAY-DUAL_ZG
GH98-42115B,ASSY STYLUS PEN-SM-N950F_ZB
GH96-13546E,ASSY STYLUS PEN-SM-N981U_MINT
GH96-13125A,"ASSY VT CAMERA-1/2.74""_32M(SM-N770F)"
GH96-13561A,ASSY CAMERA-12M+64M OIS/AF (SM-N981B)
GH96-13599A,"ASSY CAMERA-12M CMOS, 1/2.6"" (SM-N981U)"
GH96-13462A,ASSY CAMERA-TRIPLE 12M_12M_12M(SM-N770F)
GH82-27489D,"SVC ASSY SMT-OCTA(SVC/E/ZG)SM-S908E,XID"
GH81-23375A,"SVC JIG-S911 UB PRESS PAD_CS;1356299200,"
GH81-23377A,"SVC JIG-S916 UB PRESS PAD_CS;1356299200,"
GH81-23378A,"SVC JIG-S918 UB PRESS PAD_CS;1356299200,"
GH82-22780E,SVC COVER ASSY-B/G_COMM1_ZS
GH82-24378B,SVC COVER ASSY-B/C_COMM 1_ZW_A426B
GH82-22938C,SVC COVER ASSY-B/G_COMM1_A516_ZI_ALL;SM-
GH82-23100C,"SVC ASSY SMT-LCD (E/ZI), SM-A516B"
GH82-25541C,"SVC LCD ASSY-OCTA KIT(E/LV)SM-A725F,EUE"
GH82-25541B,"SVC LCD ASSY-OCTA KIT(E/ZB)SM-A725F,EUE"
GH82-25541A,"SVC LCD ASSY-OCTA KIT(E/ZK)SM-A725F,EUE"
GH82-25541D,"SVC LCD ASSY-OCTA KIT(E/ZW)SM-A725F,EUE"
GH82-25448C,SVC COVER ASSY-B/C_COMMON_LV_ALL
GH82-25448B,SVC COVER ASSY-B/C_COMMON_ZB_ALL
GH98-46253D,ASSY COVER-BACK_ZW
GH82-25229C,"SVC LCD ASSY-OCTA KIT(E/LV)SM-A526B,EUE"
GH82-25229B,"SVC LCD ASSY-OCTA KIT(E/ZB)SM-A526B,EUE"
GH82-25080B,SVC COVER ASSY-REAR_COMM 1_ZW
GH82-25225B,SVC COVER ASSY-B/G_COMM1_A526_ZB
GH81-21305A,SVC JDM-COVER BACK_EUR_NFC_A037_ZB
GH81-21267A,SVC JDM-COVER BACK_EUR_NFC_A037_ZW
GH82-26858F,SVC COVER ASSY-B/C_A528_LG_UKCA
GH82-26861E,"SVC ASSY SMT-OCTA(E/LG)SM-A528B,EUA"
GH82-28042A,SVC COVER ASSY-B/C_A336_ZK_UKCA
GH82-28042D,SVC COVER ASSY-B/C_A336_ZO_UKCA
GH82-28042B,SVC COVER ASSY-B/C_A336_ZW_UKCA
GH82-28017C,SVC COVER ASSY-B/C_A536_LB_UKCA
GH82-28017D,SVC COVER ASSY-B/C_A536_ZO_UKCA
GH82-28017B,SVC COVER ASSY-B/C_A536_ZW_UKCA
GH82-28143A,"SVC ASSY SMT-OCTA(E/ZK)SM-A336B,EUB"
GH82-28143D,"SVC ASSY SMT-OCTA(E/ZO)SM-A336B,EUB"
GH82-28143B,"SVC ASSY SMT-OCTA(E/ZW)SM-A336E,INS"
GH82-28024D,"SVC ASSY SMT-OCTA(E/ZO)SM-A536B,EUB"
GH82-28024B,"SVC ASSY SMT-OCTA(E/ZW)SM-A536E,INS"
GH97-24663E,MEA REAR-OPEN_NFC_I_GRADE_ZS
GH97-23445D,MEA REAR-SM-A705FN_E_ZO
GH82-20429C,"SVC COVER ASSY-SLIDE REAR(ZD)_NON,A805F;"
GH82-20429A,"SVC COVER ASSY-SLIDE REAR(ZK)_NON,A805F;"
GH82-20429B,"SVC COVER ASSY-SLIDE REAR(ZS)_NON,A805F;"
GH97-23986A,MEA REAR-TOP_EUR OPEN
GH97-25972C,MEA REAR-OPEN_ZB
GH97-25972A,MEA REAR-OPEN_ZK
GH97-25972B,MEA REAR-OPEN_ZW
GH97-25939B,MEA REAR-OPEN_ZW
GH81-21242A,SVC JDM-ASSY COVER_B_SM-A037_EU
GH98-44169D,ASSY SIM TRAY-DS_ZR
 GH96-13476A,
GH98-45392E,ASSY SIM TRAY-DS_ZS
GH98-45392B,ASSY SIM TRAY-DS_ZW
GH96-13434A,ASSY CAMERA-TRIPLE 48M_8M-5M (SM-A415F)
GH98-45275A,ASSY SIM TRAY-DS_ZK
GH64-08247B,DECORATION-SIM TRAY_DS_ZW
GH64-08247A,"DECORATION-PMO-TRAY_DS_ZK;SM-A426B,PC+GF"
GH98-45491C,ASSY SIM TRAY-DS-PC
GH98-45491B,ASSY SIM TRAY-DS-PC
GH98-44757C,ASSY SIM TRAY-DS_ZB
GH96-13042A,"ASSY CAMERA-1/5""_5M(SM-A715F)"
GH98-46290C,ASSY SIM TRAY-DUAL_LV
GH96-14168A,"ASSY CAMERA-8M OIS, 1/4.4"" (SM-A725F)"
GH98-46290B,ASSY SIM TRAY-DUAL_ZB
GH98-46290D,ASSY SIM TRAY-DUAL_ZW
GH98-44244C,ASSY SIM TRAY-ZD
GH98-44244B,ASSY SIM TRAY-ZS
GH96-14151A,"ASSY CAMERA-WIDE 48M 1/2""(SM-A125F)"
GH81-20134A,SVC JDM-ETC SIM_TRAY_DS_SM-A025_BLK
GH81-20137A,SVC JDM-ETC SIM_TRAY_DS_SM-A025_WHT
GH63-19393B,SIM TRAY-DUAL_ZW
GH81-21255A,SVC JDM-ETC SIM_TRAY_DS_SM-A037_ZB
GH81-21254A,SVC JDM-ETC SIM_TRAY_DS_SM-A037_ZK
GH81-21257A,SVC JDM-ETC SIM_TRAY_DS_SM-A037_ZW
GH98-46290F,ASSY SIM TRAY-DUAL_LG
GH98-47323B,ASSY SIM TRAY-DUAL_LB
GH98-47323A,ASSY SIM TRAY-DUAL_ZK
GH98-47323D,ASSY SIM TRAY-DUAL_ZW
GH98-47313A,ASSY SIM TRAY-DUAL
GH98-47313D,ASSY SIM TRAY-DUAL_ZO
GH98-47313B,ASSY SIM TRAY-DUAL_ZW
GH98-47263D,ASSY SIM TRAY-DS_ZO
GH98-47263B,ASSY SIM TRAY-DS_ZW
GH96-14492A,ASSY CAMERA-12MUW_SM-G990U
GH02-18373A,TAPE ETC-FRONT SIDE_V2
GH02-17546A,TAPE DOUBLE FACE-FRONT TOP WP
GH98-44992B,ASSY SIM TRAY-DUAL_ZW
GH02-17396A,TAPE DOUBLE FACE-FRONT WP TOP
GH82-22946A,"SVC PBA-MAIN (COMM), SM-G975FC/1D8;SM-G9"
GH82-18452C,SVC COVER ASSY-B/G
GH82-18452B,SVC COVER ASSY-B/G;COMM1_ZS_G970_DS_VN;S
GH98-43759C,ASSY SIM TRAY-DUAL_ZB
GH82-22068B,SVC COVER ASSY-B/G;COMMON TYPE 1_ZW;SM-G
GH98-46007C,ASSY SIM TRAY-DUAL_LV
GH96-13911B,"ASSY OLED-6.5"" FHD+ G781V BLK WO LO BG"
GH98-46007D,ASSY SIM TRAY-DUAL_ZG
GH82-24219F,SVC ASSY SMT-OCTA(E/ZO/PF)SM-G780F
GH82-24219E,SVC ASSY SMT-OCTA(E/ZR/PF)SM-G780F
GH82-24214F,SVC ASSY SMT-OCTA(E/ZO/PF)SM-G781B
GH98-46007F,ASSY SIM TRAY-DUAL_ZO
GH98-46007E,ASSY SIM TRAY-DUAL_ZR
GH82-24223F,SVC COVER ASSY-B/C_COMM 1_ZO_G781
GH82-22134K,"SVC ASSY SMT-OCTA(E/ZP/PF), SM-G986"
GH82-21634K,SVC COVER ASSY-B/G
GH98-45005K,ASSY SIM TRAY-DUAL_ZP
GH98-45005G,ASSY SIM TRAY-DUAL_ZR
GH82-27262B,SVC COVER ASSY-B/G_G991B/DS_ZV_UKCA
GH82-27262D,SVC COVER ASSY-B/G_G991B/DS_ZI_UKCA
GH82-24716B,"SVC LCD ASSY-OCTA KIT(E/ZV/PF)G991B,EUB"
GH82-26414C,"SVC ASSY SMT-OCTA(E/LG)G990B,EUB"
GH82-26156C,SVC COVER ASSY-B/C_G990B/DS_LG_UKCA
GH98-46790C,ASSY SIM TRAY-DS_LG
GH98-46790D,ASSY SIM TRAY-DS_LV
GH98-46790A,ASSY SIM TRAY-DS_ZA
GH82-24499C,SVC COVER ASSY-B/G_COMM 1_ZT
GH82-24505E,SVC COVER ASSY-B/G_COMM1_ID_G996_VN
GH98-46193A,ASSY SIM TRAY-DUAL_ZK
GH82-27520B,"SVC ASSY SMT-OCTA(E/ZW)S22,SM-S901B,EUC"
GH82-27520E,"SVC ASSY SMT-OCTA(E/ZA)S22,SM-S901B,EUB"
GH82-27520C,"SVC ASSY SMT-OCTA(E/ZG)S22,SM-S901B,EUC"
GH82-27520F,"SVC ASSY SMT-OCTA(E/ZV)S22,SM-S901B,EUB"
GH98-47086D,ASSY SIM TRAY-DUAL_ID
GH98-47086B,ASSY SIM TRAY-DUAL_ZW
GH98-47086E,ASSY SIM TRAY-DUAL_ZA
GH98-47086C,ASSY SIM TRAY-DUAL_ZG
GH98-47086A,ASSY SIM TRAY-DUAL_ZK
GH98-47086F,ASSY SIM TRAY-DUAL_ZV
GH82-27434H,SVC COVER ASSY-B/G_S901_LB_UKCA
GH82-27434E,SVC COVER ASSY-B/G_S901_ZA_UKCA
GH82-27434F,SVC COVER ASSY-B/G_S901_ZE_UKCA
GH82-27434C,SVC COVER ASSY-B/G_S901_ZG_UKCA
GH82-27434A,SVC COVER ASSY-B/G_S901_ZK_UKCA
GH82-27434G,SVC COVER ASSY-B/G_S901_ZV_UKCA
GH82-27434B,SVC COVER ASSY-B/G_S901_ZW_UKCA
GH82-27444D,SVC COVER ASSY-B/G_S906_ID_UKCA
GH82-27444H,SVC COVER ASSY-B/G_S906_LB_UKCA
GH82-27444E,SVC COVER ASSY-B/G_S906_ZA_UKCA
GH82-27500D,"SVC ASSY SMT-OCTA(E/ID)S22+,SM-S906B,EUB"
GH82-27500B,"SVC ASSY SMT-OCTA(E/ZW)S22+,SM-S906B,EUB"
GH82-27500E,"SVC ASSY SMT-OCTA(E/ZA)S22+,SM-S906B,ATS"
GH82-27947A,"SVC PBA-MAIN(COMM)SM-S908B_1TB,EUB,SVC"
GH82-27498A,"SVC PBA-MAIN(COMM)S22+,SM-S906B/128,8GB"
GH82-27444F,SVC COVER ASSY-B/G_S906_ZE_UKCA
GH82-27444C,SVC COVER ASSY-B/G_S906_ZG_UKCA
GH82-27444A,SVC COVER ASSY-B/G_S906_ZK_UKCA
GH82-27444G,SVC COVER ASSY-B/G_S906_ZV_UKCA
GH82-27444B,SVC COVER ASSY-B/G_S906_ZW_UKCA
GH82-27500C,"SVC ASSY SMT-OCTA(E/ZG)S22+,SM-S906B,EUB"
GH82-27500F,"SVC ASSY SMT-OCTA(E/ZV)S22+,SM-S906B,ATS"
GH96-12440A,"ASSY VT CAMERA-1/3""_10M(SM-G977N)"
GH96-13973A,"ASSY VT CAMERA-1/3"" 10M,SM-G996B"
GH96-14491A,ASSY CAMERA-WIDE 12M_SM-G990U
GH96-14493A,ASSY VT CAMERA-32M VT CAM_SM-G990U
GH96-14778A,"ASSY VT CAMERA-1/3.24""_10M,SM-S906B"
GH96-14770A,"ASSY CAMERA-12M,SM-S906"
GH96-14767A,ASSY CAMERA-WIDE CAM_1/1.56' 50M (S906B)
GH96-14766A,ASSY CAMERA-1/3.94' 11M (S906B)
GH96-14254A,"ASSY LCD-5.3"" HD+ G525F BLK WO LO AG"
GH82-29187A,"SVC ASSY SMT-OCTA(E/ZK),SM-G736B"
GH43-05060A,"INNER BATTERY PACK-EB-BG525BBE,2920,30"
GH43-04993A,"INNER BATTERY PACK-EB-BG715BBE,3950,30"
GH43-05117A,"INNER BATTERY PACK-EB-BG736BBE,3950,30"
GH98-46361A,ASSY COVER-BATTERY_ZK
GH98-45174A,ASSY COVER-BATTERY
GH98-47657A,ASSY COVER-BATT
GH96-14137A,ASSY SUB PBA-SM-G525F
GH96-13109A,ASSY SUB PBA-SM-G715FN
GH96-15217A,"ASSY SUB PBA-HPCB,SM-G736B"
GH82-20502A,"SVC PBA-MAIN(COMM)BSM-G398FN/32,XEO,SVC;"
GH82-29186A,"SVC PBA-MAIN(COMM),SM-G736B_128GB,EUR"
GH96-12606A,ASSY VT CAMERA-SM-G398FN
GH96-14218A,"ASSY VT CAMERA-5M,SM-G525F"
GH96-12914A,"ASSY VT CAMERA-13M_1/3""_ FF"
GH96-15411A,ASSY VT CAMERA-13M_SM-G736B
GH96-14018A,"ASSY CAMERA-16M AF 1/2.8""_G525F"
GH96-13221A,"ASSY CAMERA-25M+8M, IMX576(SM-G715FN)"
GH96-14488A,"ASSY CAMERA-1/4""_8M(SM-A225F)"
GH98-46354A,ASSY CASE-REAR_ZK
GH98-45172A,ASSY CASE-REAR_ZK
GH98-47650A,ASSY CASE-REAR_ZK
GH82-27840A,"SVC ASSY SMT-OCTA(M/ZA)SM-X906B,EUB"
GH82-27901A,"SVC ASSY SMT-OCTA(M/ZA)SM-X706B,EUB"
GH82-24241A,"SVC ASSY SMT-LCD(M/ZK)SM-T575N,EEH,SVC"
GH82-29084A,"SVC ASSY SMT-LCD(E/ZA),SM-P619N, XEF"
GH82-21303A,"SVC ASSY SMT-LCD(E/ZK)SM-T545N,BTU,SVC"
GH82-27843A,"SVC BATT ASSY-EB-BX906ABY,10880,30"
GH82-27802A,SVC COVER ASSY-REAR_X906B_ZA_UKCA
GH82-27888A,"SVC BATT ASSY-SM-X808,EB-BT975ABY,30"
GH82-27902A,"SVC BATT ASSY-SM-X706,EB-BT875ABY,30"
GH81-21920A,SVC JDM BATT-NATL_HQ-6300NA_SM-X205_SVC
GH43-05039A,"INNER BATTERY PACK-EB-BT575BBE,4900,30"
GH82-27807A,SVC COVER ASSY-REAR_X900_ZA_UKCA
GH82-27815A,SVC COVER ASSY-REAR_X800_ZA_UKCA
GH82-27818A,SVC COVER ASSY-REAR_X700_ZA_UKCA
GH82-25745C,SVC COVER ASSY-REAR_T736_LG_VN_COMM1
GH81-22192A,SVC JDM-COVER BACK LTE_UKCA_X205_ZA
GH82-23279C,SVC COVER ASSY-REAR_COMM1_ZN
GH98-45921A,ASSY COVER-BATTERY
GH98-42274A,ASSY COVER-BATTERY(DARK GRAY)
GH82-23570C,SVC COVER ASSY-REAR_COMM 1_T870_ZN
GH82-27292B,SVC COVER ASSY-REAR_P610_ZB_UKCA
GH98-44854A,ASSY COVER-BATTERY
GH82-16913A,SVC COVER ASSY-REAR;COMM1_EUR_ZK_T590_VN
GH98-44113B,ASSY CASE-REAR UNIT_BLACK
GH82-27292A,SVC COVER ASSY-REAR_P610_ZA_UKCA
GH82-27845A,"SVC SUB PBA-USB SUB,SM-X900N,EUB;SM-X900"
GH82-27889A,"SVC SUB PBA-USB SUB,SM-X808U,VZW"
GH82-27903A,"SVC SUB PBA-USB SUB,SM-X706B,EUB;SM-X706"
GH81-21943A,SVC JDM-ASSY SUB PBA_USB_SM-X205_SVC
GH82-24240A,SVC SUB PBA-SM-T575N_USB_SVC
GH96-12803A,ASSY SUB PBA-USB_SM-T545
GH82-29086A,"SVC SUB PBA-USB PBA,SM-P619,OPEN"
GH98-47234A,ASSY SIM TRAY-DARK GRAY
GH98-47416A,ASSY SIM TRAY-WIFI_DARK GRAY
GH82-27839A,SVC PBA-MAIN(COMM)SM-X906B_128GB
GH82-27844A,SVC PBA-MAIN(COMM)SM-X900_128GB_SVC
GH82-27891A,"SVC PBA-MAIN(COMM)SM-X806B/128,8GB,EUB"
GH82-27900A,SVC PBA-MAIN(COMM)SM-X706B_128+8GB
GH81-21917A,SVC JDM PBA-MAIN(LTE/COMM)SM-X205/3_32
GH82-23410A,"SVC PBA-MAIN(COMM)SM-T970N/128,6GB,EUB,;"
GH82-24239A,"SVC PBA-MAIN(COMM)SM-T575N/64,EEH,"
GH82-23906A,SVC PBA-MAIN(COMM)SM-T870(8+256GB)_M
GH82-29151A,"SVC PBA-MAIN(COMM)SM-P613N/128GB,BTU;SM-"
GH82-21268A,"SVC PBA-MAIN(COMM)SM-T545/64,BTU,SVC;SM-"
GH82-17341A,"SVC PBA-MAIN(COMM);SM-T835/64,XEF,SVC;SM"
GH82-19842A,"SVC PBA-MAIN(COMM)SM-T725/64,BTU,SVC"
GH82-20914A,"SVC PBA-MAIN (COMM),SM-T865/256;SM-T860"
GH82-29152A,"SVC PBA-MAIN(COMM),SM-P619N/128"
GH96-14951A,"ASSY VT CAMERA-1/3.6""_12M FF (SM-X906B)"
GH96-15020A,"ASSY VT CAMERA-1/3.6""_12M(SM-X706B)"
GH81-19643A,SVC JDM-CAMERA_FRONT_5M_SM-T500_SVC
GH81-21981A,SVC JDM-CAMERA_FRONT_SM-X205_SVC
GH81-20664A,SVC JDM-CAMERA_FRONT_SM-T220_SVC
GH96-13743A,"ASSY CAMERA-1/5""_5M (SM-T575)"
GH96-15232A,"ASSY VT CAMERA-5M FF 1/5""_P619"
GH96-12788A,ASSY VT CAMERA-8M FF_SM-T545
GH81-17125A,SVC JDM-CAMERA FRONT_SVC
GH96-11114A,"ASSY VT CAMERA-1/5""_5M_VT (SM-J250F)"
GH96-11727A,"ASSY VT CAMERA-1/4""_8M CMOS(T835)"
GH96-12513A,"ASSY VT CAMERA-1/4""_8M FF(SM-T725)"
GH96-12747A,"ASSY VT CAMERA-1/4""_8M(SM-T865)"
GH96-14972A,ASSY CAMERA-DUAL(13M AF+6M FF)_X906B
GH96-14961A,ASSY CAMERA-DUAL(13M AF+6M FF)
GH96-14962A,ASSY CAMERA-DUAL(13M AF+6M FF)
GH96-14327A,ASSY CAMERA-1/4' 8M (T736B)
GH81-19644A,SVC JDM-CAMERA_REAR_8M_SM-T500_SVC
GH81-21982A,SVC JDM-CAMERA_REAR_SM-X205_SVC
GH81-20665A,SVC JDM-CAMERA_REAR_SM-T220_SVC
GH96-13659A,ASSY CAMERA-SM_T976B MAIN
GH96-13744A,"ASSY CAMERA-1/3""_13M (SM-T575)"
GH96-13717A,"ASSY CAMERA-1/3.4""/1/5""_13M/5M (SM-T875)"
GH96-15231A,"ASSY CAMERA-1/4""_8M"
GH96-12787A,ASSY CAMERA-13M AF_SM-T545
GH81-17124A,SVC JDM-CAMERA REAR_SVC
