PartNo,Description,Logic,Category
GH82-09331A,SVC PBA-PBA MAIN(COMM)SM_A300FU
GH96-09178B,ASSY REAR UNIT-GPG
GH97-17787B,SVC ASSY SMT-OCTA(E/GOLD)SM-G903F
GH82-09452A,SVC PBA-PBA MAIN (COMM)
GH97-19732A,"SVC ASSY SMT-OCTA,(E/BLACK),SM-A320F/DS"
GH97-19732C,"SVC ASSY SMT-OCTA,(E/BLUE),SM-A320F/DS"
GH96-08583A,ASSY REAR UNIT-EU(BYD)_ZK
GH82-11182A,"SVC PBA-PBA MAIN(COMM),SM-A310F"
GH96-08376C,ASSY REAR UNIT-COMMON (GOLD)
GH96-09788B,ASSY METAL UNIT-FRONT SUB-EUR_ZS
GH96-09788A,ASSY METAL UNIT-FRONT SUB-EUR_ZK
GH96-09788C,ASSY METAL UNIT-FRONT SUB-EUR_ZD
GH97-18250B,"SVC ASSY SMT-OCTA,(E/BLK)"
GH81-14795A,SVC JIG-WINDOW PRESS PAD;J530;1129979700
GH81-14796A,SVC JIG-WINDOW PRESS PAD;J730;1129979700
GH82-09863A,"SVC PBA-PBA MAIN(COMM);SM-T550/M16,-,-,S"
GH97-18734A,"SVC ASSY SMT-LCD,(E/BLK),SM-T280"
GH97-18734B,"SVC ASSY SMT-LCD,(E/WHT),SM-T280"
GH81-14910A,SVC JIG-WINDOW PRESS PAD;J330;1129979700
GH97-17525A,SVC ASSY SMT-LCD (E/BLK)
GH96-08376E,ASSY REAR UNIT-COMMON (GREEN)
GH96-09079D,ASSY REAR UNIT-SM_G928F_EUR_ZS
GH82-13667C,SVC CASE ASSY-FRONT(ZB)
GH97-16747B,SVC ASSY SMT-OCTA(SVC/BLUE)_SMG730V
GH96-09855A,ASSY CAMERA-12M OIS/AF_SM-G935F
GH97-19466A,"SVC ASSY SMT-OCTA,(E/GOLD),SM-J510F"
GH97-19466B,"SVC ASSY SMT-OCTA,(E/BLACK),SM-J510F"
GH82-10132A,"SVC PBA-PBA MAIN(COMM),SM-T560/M8"
GH82-11570A,"SVC PBA-PBA MAIN(COMM),SM-T280/M8;SVC;SM"
GH96-09521A,ASSY CAMERA-12M AF_SM-G930F
GH96-06992A,ASSY CAMERA-K CAMERA MODULE
GH97-18414B,"SVC ASSY SMT-OCTA,(E/GOLD),SM-J320F"
GH96-07639A,"ASSY REAR UNIT-SPK,REAR,INTENNA_SIL(N910"
GH96-07639B,"ASSY REAR UNIT-SPK,REAR,INT_BLK(N910F)"
GH97-18748C,"SVC ASSY SMT-OCTA,(SVC/E/BLACK),SM-J320F"
GH97-18414A,"SVC ASSY SMT-OCTA,(E/WHT),SM-J320F"
GH82-11384C,SVC COVER ASSY-BACK GLASS SVC EUR_ZD
GH82-11384A,SVC COVER ASSY-BACK GLASS SVC EUR_ZK
GH82-14015A,"SVC COVER ASSY-B/GLASS_ZK;SM-G955F,EUR,V"
GH82-14015C,"SVC COVER ASSY-B/GLASS_ZV;SM-G955F,EUR,V"
GH82-13638C,SVC COVER ASSY-BACK GLASS_OPEN SS_SEVT(Z
GH82-11346F,SVC COVER ASSY-BACK GLASS_OPEN_ZB
GH82-13636A,SVC COVER ASSY-BACK GLASS_A320FL_ZK
GH82-13962A,SVC COVER ASSY-B/GLASS
GH98-37880A,ASSY CASE-REAR
GH43-04627A,"INNER BATTERY PACK-EB-BT585ABE,7300,30"
GH96-07315B,ASSY SPEAKER-REAR LTE S/G SM-G900F BLACK
GH43-04726A,"INCELL BATTERY PACK-EB-BG955ABE,3500,30"
GH43-04729A,"INCELL BATTERY PACK-EB-BG950ABE,3000,30"
GH82-09602C,"SVC COVER ASSY-B/GLASS;SM-G925F,EUR,GOLD"
GH82-14642A,SVC BATTERY ASSY-SM-G950F
GH82-09548B,SVC COVER ASSY-B/GLASS
GH82-09602B,SVC COVER ASSY-B/GLASS
GH82-09825A,SVC COVER ASSY-B/GLASS
GH82-09825B,SVC COVER ASSY-B/GLASS
GH98-33580A,ASSY CASE-REAR (EUR SVC)
GH43-03969A,"INNER BATTERY PACK-B800BE,3200MAH"
GH98-34587A,ASSY BRACKET-LCD
GH96-07020A,ASSY SUB PBA-SUB RFPCB (SM-G900F)
GH96-10834A,ASSY US FP-SM-G955F(BLACK)_REV0.2
GH96-08275A,ASSY SUB PBA-USB PCB (SM-G920F)
GH43-04677A,"INCELL BATTERY PACK-EB-BA320ABE,2350,30"
GH43-04309A,"INNER BATTERY PACK-EB-BN910BBE,3220MAH"
GH43-04588B,"INCELL BATTERY PACK-EB-BT280ABE,4000MAH"
GH96-09837A,ASSY SUB PBA-RFPCB(SM_A510F)
GH96-07523A,ASSY CAMERA-1/4 INCH 8M_MODULE(SM-G510F)
GH43-04199A,"INNER BATTERY PACK-EB-BG900BBE,2800MAH,L"
GH43-04381B,"INNER BATTERY PACK-EB-BA300ABE,1900MAH"
GH96-09371A,ASSY SUB PBA-FPCA
GH43-04257A,"INNER BATTERY PACK-EB-BG800BBE,2100MAH"
GH96-08166A,ASSY US FP-SM_G920F (WHITE)
GH96-07782A,ASSY SUB PBA-USB_DT/VODA (SM-G850F)
GH43-04526A,"INCELL BATTERY PACK-EB-BG928ABE,3000MAH"
GH43-04526B,"INCELL BATTERY PACK-EB-BG928ABE,3000MAH"
GH96-08908A,ASSY SUB PBA-FPCB(SM-G903F)
GH44-02685A,ADAPTOR-EP-TA20UWE
GH43-04562B,"INCELL BATTERY PACK-EB-BA310ABE,2300MAH"
GH82-09031A,"A/S REWORK KIT-T SVC SM-N910,COMMON;SM-N"
GH82-11093B,SVC COVER ASSY-BACK GLASS (EU/ZK)_SEHZ
GH59-14338H,HEADSET-EO-EG920BW
GH44-02952A,ADAPTOR-EP-TA20UBE
GH98-32392B,ASSY COVER-BATT_S-GRADE(BLACK)
GH96-10618A,ASSY SPEAKER-MODULE(SM-G955F)
GH96-08538A,ASSY SUB PBA-IF SUB FPCB (SM-T555)
GH96-09513A,ASSY SPEAKER-MODULE(SM-G935F)
GH82-10152A,SVC SUB PBA-USB PBA
GH82-14478A,"A/S REWORK KIT-T SVC;SM-A520F,COMM;;SM-A"
GH82-14476A,"A/S REWORK KIT-T SVC;SM-A320F,COMM;;SM-A"
GH81-12784A,"A/S-OCTA COVER PANEL_(R/KIT);SM-G920F,83"
GH39-01886A,DATA LINK CABLE-TYPE C TO A(WW)
GH98-38787E,ASSY SIM TRAY-SINGLE_ED
GH81-12965A,"A/S-MAIN WINDOW_SVC;SM-T815,TESA 62946"
GH98-39260A,ASSY SIM TRAY-SINGLE_ZK
GH81-12390A,A/S-SVC REWORK KIT;SM-G850;(RB;SM-;SM-G8
GH59-14713A,KEY FPCB-TOUCH KEY
GH39-01922A,DATA LINK CABLE-WW(BLACK)
GH64-04984C,"DECORATION-SIM TRAY SVC;SM-G920F,AL,GOLD"
3009-001701,AUDIO-RECEIVER
GH59-14603A,EAR JACK FPCB-SM_G930F
GH81-13071A,A/S-A/S-TAPE_BACK_GLASS(R/KIT);SM-G928;S
GH98-41288A,ASSY USB GENDER-TYPE C TO A(R) WW
GH82-14108A,"A/S REWORK KIT-T;SM-G950F,SVC_COMM;SM-G9"
GH81-13041A,"A/S-SVC REPAIR TAPE ALL;SM-G361F,3M 4303"
GH81-14350A,A/S-SVC TAPE MAIN WINDOW ATTACH;SM-A520F
GH81-13601A,"A/S-TAPE BACKLGLASS_SVC;SM-A310F,ANYONE"
GH02-08783A,TAPE DOUBLE FACE-M/WINDOW_(R/KIT)
GH42-05704A,INTENNA-SUB (SM-G935F)
GH02-07900A,TAPE DOUBLE FACE-MAIN WINDOW WP_SVC;SM-G
GH98-40983A,ASSY SIM TRAY-SINGLE
GH81-14351A,"A/S-SVC TAPE BACK GLASS OUT;SM-A520F,ANY"
GH98-38786A,ASSY CASE-REAR
